X,Y,Z,start,end
109581.20272733363,108424.05956069114,-24408.332770903962,2021-01-04T13:41:18.043595500,2021-01-04T14:41:18.043595500
106330.15780155959,107341.47579590279,-25702.49771601439,2021-01-04T14:41:18.043595500,2021-01-04T15:41:18.043595500
102925.01190514221,106109.92071829295,-26959.72442533122,2021-01-04T15:41:18.043595500,2021-01-04T16:41:18.043595500
99361.40745816928,104722.08603395865,-28175.84321185521,2021-01-04T16:41:18.043595500,2021-01-04T17:41:18.043595500
95634.47749731429,103169.72484183115,-29346.140759514295,2021-01-04T17:41:18.043595500,2021-01-04T18:41:18.043595500
91738.79323162782,101443.4853473514,-30465.259155820524,2021-01-04T18:41:18.043595500,2021-01-04T19:41:18.043595500
87668.30314036593,99532.71394768148,-31527.05953559623,2021-01-04T19:41:18.043595500,2021-01-04T20:41:18.043595500
84861.12208765144,98158.00710660015,-32202.20281977255,2021-01-04T20:41:18.043595500,2021-01-04T21:01:05.833038500
65116.29761316855,4233.829788621621,37568.79833155825,2021-01-05T20:06:30.000000000,2021-01-05T20:13:50.000000000
72361.24682126343,8312.220510731135,38442.91892722025,2021-01-05T20:49:15.000000000,2021-01-05T21:24:40.000000000
152926.49819107167,90196.30000532277,11473.851835598953,2021-01-07T01:31:11.620207500,2021-01-07T02:31:11.620207500
152962.58303134597,91708.96192274222,9964.820933177516,2021-01-07T02:31:11.620207500,2021-01-07T03:31:11.620207500
152862.30572046683,93138.71226085506,8446.72535301645,2021-01-07T03:31:11.620207500,2021-01-07T04:31:11.620207500
152626.96367034054,94485.26525186353,6921.018628513354,2021-01-07T04:31:11.620207500,2021-01-07T05:31:11.620207500
152257.63869588307,95748.22931295838,5389.115967439236,2021-01-07T05:31:11.620207500,2021-01-07T06:31:11.620207500
151755.22049296714,96927.10463384187,3852.4106494571465,2021-01-07T06:31:11.620207500,2021-01-07T07:31:11.620207500
151120.4008058497,98021.28038400567,2312.2778528951344,2021-01-07T07:31:11.620207500,2021-01-07T08:31:11.620207500
150353.68489517758,99030.02962393817,770.0839588542832,2021-01-07T08:31:11.620207500,2021-01-07T09:31:11.620207500
149455.39673648818,99952.50411069396,-772.8041152307038,2021-01-07T09:31:11.620207500,2021-01-07T10:31:11.620207500
143735.05072861395,100131.6981779886,-4778.738457001425,2021-01-07T10:31:11.620207500,2021-01-07T11:31:11.620207500
147264.4460070863,101534.58522663357,-3855.173757349146,2021-01-07T11:31:11.620207500,2021-01-07T12:31:11.620207500
145971.51767993544,102191.82719306521,-5391.856230044062,2021-01-07T12:31:11.620207500,2021-01-07T13:31:11.620207500
144546.4615910503,102758.0420632552,-6923.627528879509,2021-01-07T13:31:11.620207500,2021-01-07T14:31:11.620207500
142988.68824384903,103231.6589545931,-8449.003362482845,2021-01-07T14:31:11.620207500,2021-01-07T15:31:11.620207500
141297.40916621857,103610.9298088982,-9966.445366898986,2021-01-07T15:31:11.620207500,2021-01-07T16:31:11.620207500
139471.6478546738,103893.91360962103,-11474.357036872972,2021-01-07T16:31:11.620207500,2021-01-07T17:31:11.620207500
137510.20015754373,104078.4611250503,-12971.064895307647,2021-01-07T17:31:11.620207500,2021-01-07T18:31:11.620207500
135411.66852714625,104162.19460926966,-14454.806018015011,2021-01-07T18:31:11.620207500,2021-01-07T19:31:11.620207500
133174.42822519533,104142.48382855476,-15923.714831638066,2021-01-07T19:31:11.620207500,2021-01-07T20:31:11.620207500
130796.61282158086,104016.4248206192,-17375.800963713824,2021-01-07T20:31:11.620207500,2021-01-07T21:31:11.620207500
128276.102902588,103780.80192671904,-18808.937554917233,2021-01-07T21:31:11.620207500,2021-01-07T22:31:11.620207500
125610.51064634761,103432.0613912762,-20220.826342658715,2021-01-07T22:31:11.620207500,2021-01-07T23:31:11.620207500
122797.12293332767,102966.25429040183,-21608.980058695266,2021-01-07T23:31:11.620207500,2021-01-08T00:31:11.620207500
119832.93430086966,102378.99819309737,-22970.690022284634,2021-01-08T00:31:11.620207500,2021-01-08T01:31:11.620207500
116714.58709199713,101665.42842356928,-24302.9790067575,2021-01-08T01:31:11.620207500,2021-01-08T02:31:11.620207500
106893.15804172793,98509.18432328792,-27546.813117977305,2021-01-08T02:31:11.620207500,2021-01-08T03:31:11.620207500
109999.9793188821,99836.94238991493,-26865.813502369576,2021-01-08T03:31:11.620207500,2021-01-08T04:31:11.620207500
106394.8807648753,98709.11422319288,-28088.63112699476,2021-01-08T04:31:11.620207500,2021-01-08T05:31:11.620207500
102617.80382728668,97428.89514823515,-29266.43235990221,2021-01-08T05:31:11.620207500,2021-01-08T06:31:11.620207500
98662.96125780426,95987.55896256115,-30394.009419722963,2021-01-08T06:31:11.620207500,2021-01-08T07:31:11.620207500
94523.85778635587,94375.16006729845,-31465.400669957562,2021-01-08T07:31:11.620207500,2021-01-08T08:31:11.620207500
90193.17719964501,92580.27403291015,-32473.728887527614,2021-01-08T08:31:11.620207500,2021-01-08T09:31:11.620207500
87393.65353977945,91368.04352474307,-33071.39801122292,2021-01-08T09:31:11.620207500,2021-01-08T09:46:24.892707500
60501.88857398937,77567.97985540978,-36584.63470233384,2021-01-08T14:47:00.000000000,2021-01-08T14:58:15.000000000
158380.57983384043,80869.56688179208,10859.77283462726,2021-01-10T13:56:14.266482000,2021-01-10T14:56:14.266482000
158463.8777069755,82347.77859045666,9346.1171166005,2021-01-10T14:56:14.266482000,2021-01-10T15:56:14.266482000
158406.30544200723,83751.2969390708,7823.9950780889685,2021-01-10T15:56:14.266482000,2021-01-10T16:56:14.266482000
158209.05462467286,85079.72509586431,6294.844453018746,2021-01-10T16:56:14.266482000,2021-01-10T17:56:14.266482000
157873.11748008372,86332.57104095524,4760.075112462566,2021-01-10T17:56:14.266482000,2021-01-10T18:56:14.266482000
157399.28080996659,87509.24789979734,3221.077398121574,2021-01-10T18:56:14.266482000,2021-01-10T19:56:14.266482000
157039.41845582248,86822.50326829492,3727.7941701819836,2021-01-10T19:56:14.266482000,2021-01-10T20:56:14.266482000
156040.05503045468,89631.23471028286,135.87733020406773,2021-01-10T20:56:14.266482000,2021-01-10T21:56:14.266482000
155155.25650479898,90574.84554137748,-1407.5897098037058,2021-01-10T21:56:14.266482000,2021-01-10T22:56:14.266482000
154133.7462516528,91438.8780173167,-2949.7980138134058,2021-01-10T22:56:14.266482000,2021-01-10T23:56:14.266482000
152975.33604082995,92222.1867017244,-4489.347321414549,2021-01-10T23:56:14.266482000,2021-01-11T00:56:14.266482000
151679.65764556537,92923.48572362939,-6024.818126871188,2021-01-11T00:56:14.266482000,2021-01-11T01:56:14.266482000
150246.1477835314,93541.3505748409,-7554.748148938637,2021-01-11T01:56:14.266482000,2021-01-11T02:56:14.266482000
148674.03836713618,94074.19661444555,-9077.63444525284,2021-01-11T02:56:14.266482000,2021-01-11T03:56:14.266482000
146962.3641803887,94520.27729529784,-10591.912284314876,2021-01-11T03:56:14.266482000,2021-01-11T04:56:14.266482000
145109.92666663544,94877.65406622399,-12095.95666853764,2021-01-11T04:56:14.266482000,2021-01-11T05:56:14.266482000
143115.31569260426,95144.1888054237,-13588.060592327845,2021-01-11T05:56:14.266482000,2021-01-11T06:56:14.266482000
140976.89735371026,95317.52781795262,-15066.417286339716,2021-01-11T06:56:14.266482000,2021-01-11T07:56:14.266482000
138692.78662525574,95395.06759824323,-16529.11416763241,2021-01-11T07:56:14.266482000,2021-01-11T08:56:14.266482000
136260.83801234083,95373.9374459688,-17974.10660659102,2021-01-11T08:56:14.266482000,2021-01-11T09:56:14.266482000
133678.61220536556,95250.96078416075,-19399.20322976073,2021-01-11T09:56:14.266482000,2021-01-11T10:56:14.266482000
130943.36441045521,95022.62168571791,-20802.036672772483,2021-01-11T10:56:14.266482000,2021-01-11T11:56:14.266482000
128386.69477859892,92868.10271868322,-20000.14130689202,2021-01-11T11:56:14.266482000,2021-01-11T12:56:14.266482000
125001.14148011361,94233.83182509615,-23530.388034727912,2021-01-11T12:56:14.266482000,2021-01-11T13:56:14.266482000
